X,Y,OBJECTID,ACCIDENT_N,ACCIDENT_D,ACC_TIME,NO_VEHICLE,ACCIDENT_T,ACC_T_DESC,ABS_CODE,PERSON_ID,AGE,RD_USER_T,RD_U_DESC,SEX,LOCATION_D,NODE_ID,LOCATION_T,NODE_TYPE,N_TYPE_DES,ROAD_ROUTE,RD_NAME_1,RD_TYPE_1,RD_NAME_2,RD_TYPE_2,DEC_RD_DES,LGA_NAME,REGION_NAM,STAT_DIV_N,AMG_X,AMG_Y
2514644.535,2399663.753,361,T20160023909,2016/11/05 00:00:00+00,14.:5.00,1,4,Collision with a fixed object,A,A,80,2,Drivers,M,On FERNTREE GULLY ROAD 39m W from Int FERNTREE GULLY ROAD SERVICE ROAD FWD,310216,N,N,Non Intersection,5799,FERNTREE GULLY,ROAD,FERNTREE GULLY FWD,ROAD SERVICE ROAD,Declared Road,MONASH,METROPOLITAN SOUTH EAST REGION,Melbourne - South East,2514644.535,2399663.753
2526203.467,2381427.376,362,T20160023933,2016/11/05 00:00:00+00,19.:3.00,3,1,Collision with vehicle,A,10,17,3,Passengers,M,On CRANBOURNE ROAD 314m S from Int ORMOND ROAD,310362,N,N,Non Intersection,5903,CRANBOURNE,ROAD,ORMOND,ROAD,Declared Road,CASEY,METROPOLITAN SOUTH EAST REGION,Melbourne - South East,2526203.467,2381427.376
2514610.044,2358687.282,363,T20160024171,2016/11/09 00:00:00+00,06.:0.00,2,1,Collision with vehicle,A,A,25,4,Motorcyclists,M,On BOES ROAD 134m N from Int GERARDS WAY,310364,N,N,Non Intersection,9999,BOES,ROAD,GERARDS,WAY,Non Declared Road,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,Metro,2514610.044,2358687.282
2233977.379,2804054.761,364,T20160024173,2016/11/09 00:00:00+00,09.:0.00,2,1,Collision with vehicle,A,A,81,2,Drivers,F,At Int of DEAKIN AVENUE and SEVENTEENTH STREET,54123,I,I,Intersection,2610,DEAKIN,AVENUE,SEVENTEENTH,STREET,Declared Road,MILDURA,WESTERN REGION,Country,2233977.379,2804054.761
2425781.144,2529426.921,365,T20160024189,2016/11/09 00:00:00+00,12.:2.00,1,4,Collision with a fixed object,A,A,79,2,Drivers,F,On ALLIES ROAD 394m W from Int OLD BRIDGEWATER ROAD,310361,N,N,Non Intersection,9999,ALLIES,ROAD,OLD BRIDGEWATER,ROAD,Non Declared Road,BENDIGO,NORTHERN REGION,Bendigo,2425781.144,2529426.921
2437318.629,2468745.548,366,T20160024221,2016/11/09 00:00:00+00,21.:3.00,1,4,Collision with a fixed object,A,01,62,3,Passengers,F,On DAYLESFORD-MALMSBURY ROAD 114m SW from Int SANDY FARM ROAD,310363,N,N,Non Intersection,5197,DAYLESFORD-MALMSBURY,ROAD,SANDY FARM,ROAD,Declared Road,HEPBURN,WESTERN REGION,Ballarat,2437318.629,2468745.548
2437318.629,2468745.548,367,T20160024221,2016/11/09 00:00:00+00,21.:3.00,1,4,Collision with a fixed object,A,A,65,2,Drivers,M,On DAYLESFORD-MALMSBURY ROAD 114m SW from Int SANDY FARM ROAD,310363,N,N,Non Intersection,5197,DAYLESFORD-MALMSBURY,ROAD,SANDY FARM,ROAD,Declared Road,HEPBURN,WESTERN REGION,Ballarat,2437318.629,2468745.548
2626457.848,2361915.252,368,T20160024401,2016/11/12 00:00:00+00,00.:0.00,1,4,Collision with a fixed object,A,01,45,3,Passengers,M,At Int of SWAN ROAD and MCQUADE STREET,311291,I,I,Intersection,9999,SWAN,ROAD,MCQUADE,STREET,Non Declared Road,LATROBE,EASTERN REGION,Country,2626457.848,2361915.252
2503930.431,2400064.476,369,T20160024521,2016/11/13 00:00:00+00,19.:2.00,2,1,Collision with vehicle,A,A,32,4,Motorcyclists,M,At Int of GRANGE ROAD and LEILA ROAD,29647,I,I,Intersection,5848,GRANGE,ROAD,LEILA,ROAD,Declared Road,GLEN EIRA,METROPOLITAN SOUTH EAST REGION,Melbourne - Inner South,2503930.431,2400064.476
2502164.276,2355293.568,370,T20160024610,2016/11/15 00:00:00+00,07.:4.00,2,1,Collision with vehicle,A,A,26,2,Drivers,M,On BRUCE ROAD 1083m E from Int THE COVE,310697,N,N,Non Intersection,9999,BRUCE,ROAD,THE COVE, ,Non Declared Road,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,Metro,2502164.276,2355293.568
2443964.991,2372231.416,371,T20160024699,2016/11/16 00:00:00+00,08.:1.00,2,1,Collision with vehicle,A,A,42,6,Bicyclists,M,On RYRIE STREET 8m W from Int UNION STREET,310648,N,N,Non Intersection,5001,RYRIE,STREET,UNION,STREET,Declared Road,GEELONG,SOUTH WESTERN REGION,Country,2443964.991,2372231.416
2531332.82,2403181.806,372,T20160024856,2016/11/17 00:00:00+00,22.:3.00,1,4,Collision with a fixed object,A,A,26,2,Drivers,M,On THE CRESCENT 5m W from Int WILTON GROVE,310696,N,N,Non Intersection,9999,THE CRESCENT, ,WILTON,GROVE,Non Declared Road,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,Melbourne - Outer East,2531332.82,2403181.806
2660073.529,2331748.397,373,T20160025049,2016/11/20 00:00:00+00,16.:0.00,1,4,Collision with a fixed object,A,A,29,2,Drivers,F,On CARRAJUNG-WOODSIDE ROAD 705m SE from Int WOODSIDE NORTH ROAD,310908,N,N,Non Intersection,5925,CARRAJUNG-WOODSIDE,ROAD,WOODSIDE NORTH,ROAD,Declared Road,WELLINGTON,EASTERN REGION,Country,2660073.529,2331748.397
2512092.571,2414400.601,374,T20160025156,2016/11/21 00:00:00+00,22.:3.00,1,4,Collision with a fixed object,A,A,88,2,Drivers,F,On KING STREET 101m E from Int FERNBROOK WAY,310891,N,N,Non Intersection,5353,KING,STREET,FERNBROOK,WAY,Declared Road,MANNINGHAM,METROPOLITAN SOUTH EAST REGION,Melbourne - Inner East,2512092.571,2414400.601
2502174.193,2403156.254,375,T20160025198,2016/11/22 00:00:00+00,11.:2.00,1,2,Struck Pedestrian,A,01,90,1,Pedestrians,F,At Int of BALACLAVA ROAD and HAWTHORN ROAD,40282,I,I,Intersection,5295,BALACLAVA,ROAD,HAWTHORN,ROAD,Declared Road,GLEN EIRA,METROPOLITAN SOUTH EAST REGION,Melbourne - Inner South,2502174.193,2403156.254
2493413.364,2416673.922,376,T20160025208,2016/11/22 00:00:00+00,11.:4.00,1,4,Collision with a fixed object,A,01,85,3,Passengers,F,At Int of PASCOE VALE ROAD and MORELAND ROAD,45406,I,I,Intersection,5819,PASCOE VALE,ROAD,MORELAND,ROAD,Declared Road,MOONEE VALLEY,METROPOLITAN NORTH WEST REGION,Melbourne - Inner,2493413.364,2416673.922
2572468.981,2339036.135,377,T20160025244,2016/11/22 00:00:00+00,13.:3.00,2,1,Collision with vehicle,A,A,33,2,Drivers,M,On SOUTH GIPPSLAND HIGHWAY 777m SE from Int SILKSTONE ROAD ALT,310890,N,N,Non Intersection,2580,SOUTH GIPPSLAND,HIGHWAY,SILKSTONE ALT,ROAD,Declared Road,SOUTH GIPPSLAND,EASTERN REGION,Country,2572468.981,2339036.135
2428582.898,2437488.175,378,T20160025249,2016/11/22 00:00:00+00,14.:5.00,2,1,Collision with vehicle,A,A,25,2,Drivers,M,On BALLAN-DAYLESFORD ROAD 167m SE from Int DEHNERTS ROAD,310892,N,N,Non Intersection,5189,BALLAN-DAYLESFORD,ROAD,DEHNERTS,ROAD,Declared Road,MOORABOOL,WESTERN REGION,Ballarat,2428582.898,2437488.175
2537798.311,2396854.976,379,T20160025258,2016/11/22 00:00:00+00,15.:4.00,2,4,Collision with a fixed object,A,03,8,3,Passengers,F,On BELGRAVE-GEMBROOK ROAD 231m NE from Int OGILVY ROAD,310888,N,N,Non Intersection,5774,BELGRAVE-GEMBROOK,ROAD,OGILVY,ROAD,Declared Road,CARDINIA,METROPOLITAN SOUTH EAST REGION,Melbourne - South East,2537798.311,2396854.976
2480554.438,2417641.85,380,T20160025351,2016/11/23 00:00:00+00,20.:5.00,1,2,Struck Pedestrian,A,01,33,1,Pedestrians,M,At Int of MAIN ROAD W and STATION ROAD,36831,I,I,Intersection,5502,MAIN,ROAD,STATION,ROAD,Declared Road,BRIMBANK,METROPOLITAN NORTH WEST REGION,Melbourne - West,2480554.438,2417641.85
2521634.029,2398219.881,381,T20160025394,2016/10/13 00:00:00+00,17.:0.00,1,7,Fall from or in moving vehicle,A,B,58,6,Bicyclists,M,On TAYLORS LANE 64m S from Int GOULBURN DRIVE,311008,N,N,Non Intersection,9999,TAYLORS,LANE,GOULBURN,DRIVE,Non Declared Road,KNOX,METROPOLITAN SOUTH EAST REGION,Melbourne - Outer East,2521634.029,2398219.881
2520492.88,2403251.749,382,T20160025660,2016/11/27 00:00:00+00,17.:0.00,2,4,Collision with a fixed object,A,A,36,2,Drivers,M,On STUD ROAD 168m N from Int RIVERPARK DRIVE,311125,N,N,Non Intersection,2090,STUD,ROAD,RIVERPARK,DRIVE,Declared Road,KNOX,METROPOLITAN SOUTH EAST REGION,Melbourne - Outer East,2520492.88,2403251.749
