X,Y,OBJECTID,ACCIDENT_N,ACCIDENT_D,ACC_TIME,NO_VEHICLE,ACCIDENT_T,ACC_T_DESC,ABS_CODE,PERSON_ID,AGE,RD_USER_T,RD_U_DESC,SEX,LOCATION_D,NODE_ID,LOCATION_T,NODE_TYPE,N_TYPE_DES,ROAD_ROUTE,RD_NAME_1,RD_TYPE_1,RD_NAME_2,RD_TYPE_2,DEC_RD_DES,LGA_NAME,REGION_NAM,STAT_DIV_N,AMG_X,AMG_Y
2508215.796,2400842.975,1,T20150013823,2015/07/01 00:00:00+00,03.:0.00,3,1,Collision with vehicle,A,A,39,4,Motorcyclists,M,At Int of DANDENONG ROAD and ATKINSON STREET,41584,I,I,Intersection,2510,DANDENONG,ROAD,ATKINSON,STREET,Declared Road,MONASH,METROPOLITAN SOUTH EAST REGION,Melbourne - South East,2508215.796,2400842.975
2393914.484,2380247.44,2,T20150013938,2015/07/02 00:00:00+00,14.:2.00,2,1,Collision with vehicle,A,01,18,3,Passengers,M,On HAMILTON HIGHWAY 902m W from Int BARUNAH PLAINS ROAD,291136,N,N,Non Intersection,2780,HAMILTON,HIGHWAY,BARUNAH PLAINS,ROAD,Declared Road,COLAC OTWAY,SOUTH WESTERN REGION,Country,2393914.484,2380247.44
2591342.411,2607576.833,3,T20150014033,2015/07/03 00:00:00+00,15.:3.00,2,1,Collision with vehicle,A,01,46,3,Passengers,M,At Int of CAHILLS ROAD and OLD WILBY ROAD,223918,I,I,Intersection,9999,CAHILLS,ROAD,OLD WILBY,ROAD,Non Declared Road,MOIRA,NORTH EASTERN REGION,Country,2591342.411,2607576.833
2591342.411,2607576.833,4,T20150014033,2015/07/03 00:00:00+00,15.:3.00,2,1,Collision with vehicle,A,A,65,2,Drivers,M,At Int of CAHILLS ROAD and OLD WILBY ROAD,223918,I,I,Intersection,9999,CAHILLS,ROAD,OLD WILBY,ROAD,Non Declared Road,MOIRA,NORTH EASTERN REGION,Country,2591342.411,2607576.833
2508126.719,2488400.553,5,T20150014077,2015/07/04 00:00:00+00,12.:4.00,2,1,Collision with vehicle,A,A,49,4,Motorcyclists,M,On HUME FREEWAY 34m from BRIDGE OVER NTH EASTERN RAILWAY (STH A (OT) AFTER 83 (KM),291233,N,N,Non Intersection,2550,HUME,FREEWAY,HUME,FREEWAY,Declared Road,MITCHELL,NORTHERN REGION,Country,2508126.719,2488400.553
2564973.052,2476688.783,6,T20150014094,2015/07/05 00:00:00+00,01.:4.00,1,4,Collision with a fixed object,A,A,37,2,Drivers,M,On GOULBURN VALLEY HIGHWAY 1356m N from Int MT PLEASANT ROAD,291232,N,N,Non Intersection,2640,GOULBURN VALLEY,HIGHWAY,MT PLEASANT,ROAD,Declared Road,MURRINDINDI,NORTH EASTERN REGION,Country,2564973.052,2476688.783
2392701.872,2354837.167,7,T20150014262,2015/07/07 00:00:00+00,15.:5.00,1,4,Collision with a fixed object,A,A,42,2,Drivers,M,On PRINCES HIGHWAY 49m W from Int MCDONNELLS ROAD,291328,N,N,Non Intersection,2500,PRINCES,HIGHWAY,MCDONNELLS,ROAD,Declared Road,COLAC OTWAY,SOUTH WESTERN REGION,Country,2392701.872,2354837.167
2232974.151,2529269.447,8,T20150014547,2015/07/11 00:00:00+00,21.:0.00,1,4,Collision with a fixed object,A,A,51,2,Drivers,M,On QUANTONG-POLKEMMET ROAD 98m S from Int OBREES ROAD,291496,N,N,Non Intersection,9999,QUANTONG-POLKEMMET,ROAD,OBREES,ROAD,Non Declared Road,HORSHAM,WESTERN REGION,Country,2232974.151,2529269.447
2900732.511,2434540.649,9,T20150014842,2015/07/16 00:00:00+00,16.:0.00,1,5,Collision with some other object,A,A,74,2,Drivers,M,On PRINCES HIGHWAY 1763m NE from Int JONES CREEK ROAD,175304,N,N,Non Intersection,2510,PRINCES,HIGHWAY,JONES CREEK,ROAD,Declared Road,EAST GIPPSLAND,EASTERN REGION,Country,2900732.511,2434540.649
2238245.823,2398676.09,10,T20150015013,2015/07/18 00:00:00+00,16.:0.00,1,4,Collision with a fixed object,A,A,20,4,Motorcyclists,M,On COLES TRACK 1104m S from Int MENZLES PIT ROAD,292287,N,N,Non Intersection,9999,COLES,TRACK,MENZLES PIT,ROAD,Non Declared Road,SOUTHERN GRAMPIANS,SOUTH WESTERN REGION,Country,2238245.823,2398676.09
2460777.397,2446510.468,11,T20150015118,2015/07/20 00:00:00+00,09.:5.00,1,4,Collision with a fixed object,A,A,41,2,Drivers,F,On BACCHUS MARSH ROAD 1507m W from Int MORAS COURT,291809,N,N,Non Intersection,5190,BACCHUS MARSH,ROAD,MORAS,COURT,Declared Road,MACEDON RANGES,NORTHERN REGION,Country,2460777.397,2446510.468
2500070.501,2423017.523,12,T20150015521,2015/07/25 00:00:00+00,08.:4.00,5,1,Collision with vehicle,A,A,28,2,Drivers,M,At Int of EDGARS ROAD and MAHONEYS ROAD,29421,I,I,Intersection,5000,EDGARS,ROAD,MAHONEYS,ROAD,Declared Road,WHITTLESEA,METROPOLITAN NORTH WEST REGION,Melbourne - North East,2500070.501,2423017.523
2494637.708,2420749.271,13,T20150015602,2015/07/26 00:00:00+00,20.:1.00,2,2,Struck Pedestrian,A,01,74,1,Pedestrians,F,At Int of JENSEN STREET and SOUTH STREET,62318,I,I,Intersection,9999,JENSEN,STREET,SOUTH,STREET,Non Declared Road,MORELAND,METROPOLITAN NORTH WEST REGION,Melbourne - North West,2494637.708,2420749.271
2455284.622,2457304.098,14,T20150015821,2015/07/29 00:00:00+00,12.:3.00,2,1,Collision with vehicle,A,B,48,2,Drivers,M,On ASHBOURNE ROAD 180m W from Int ROBERT ROAD,292192,N,N,Non Intersection,9999,ASHBOURNE,ROAD,ROBERT,ROAD,Non Declared Road,MACEDON RANGES,NORTHERN REGION,Bendigo,2455284.622,2457304.098
2233463.206,2580796.829,15,T20150015889,2015/07/30 00:00:00+00,15.:3.00,1,4,Collision with a fixed object,A,01,74,3,Passengers,F,On DIMBOOLA-RAINBOW ROAD 267m N from Int GAULKE ROAD,292240,N,N,Non Intersection,5051,DIMBOOLA-RAINBOW,ROAD,GAULKE,ROAD,Declared Road,HINDMARSH,WESTERN REGION,Country,2233463.206,2580796.829
2233463.206,2580796.829,16,T20150015889,2015/07/30 00:00:00+00,15.:3.00,1,4,Collision with a fixed object,A,A,76,2,Drivers,M,On DIMBOOLA-RAINBOW ROAD 267m N from Int GAULKE ROAD,292240,N,N,Non Intersection,5051,DIMBOOLA-RAINBOW,ROAD,GAULKE,ROAD,Declared Road,HINDMARSH,WESTERN REGION,Country,2233463.206,2580796.829
2505338.502,2422296.732,17,T20150015890,2015/07/30 00:00:00+00,18.:0.00,1,2,Struck Pedestrian,A,01,69,1,Pedestrians,F,On GRIMSHAW STREET 46m E from Int MONCKTON ROAD,292278,N,N,Non Intersection,5910,GRIMSHAW,STREET,MONCKTON,ROAD,Declared Road,BANYULE,METROPOLITAN NORTH WEST REGION,Melbourne - North East,2505338.502,2422296.732
2504621.797,2433859.33,18,T20150015985,2015/07/31 00:00:00+00,15.:2.00,3,1,Collision with vehicle,A,C,30,2,Drivers,M,On BRIDGE INN ROAD 483m E from Int BINDTS ROAD,292337,N,N,Non Intersection,9999,BRIDGE INN,ROAD,BINDTS,ROAD,Non Declared Road,WHITTLESEA,METROPOLITAN NORTH WEST REGION,Melbourne - North East,2504621.797,2433859.33
2499124.253,2403452.194,19,T20150016013,2015/08/01 00:00:00+00,10.:3.00,1,2,Struck Pedestrian,A,01,66,1,Pedestrians,M,On CHAPEL STREET 28m N from Int DICKENS STREET,292336,N,N,Non Intersection,9999,CHAPEL,STREET,DICKENS,STREET,Non Declared Road,PORT PHILLIP,METROPOLITAN NORTH WEST REGION,Melbourne - Inner,2499124.253,2403452.194
2487291.632,2405186.196,20,T20150016264,2015/08/05 00:00:00+00,04.:5.00,2,1,Collision with vehicle,A,01,53,3,Passengers,M,On DARBYSHIRE STREET 122m S from Int KOROROIT CREEK ROAD,292539,N,N,Non Intersection,9999,DARBYSHIRE,STREET,KOROROIT CREEK,ROAD,Non Declared Road,HOBSONS BAY,METROPOLITAN NORTH WEST REGION,Melbourne - West,2487291.632,2405186.196
2479895.826,2403667.164,21,T20150016404,2015/08/07 00:00:00+00,00.:2.00,3,1,Collision with vehicle,A,A,54,2,Drivers,M,On PRINCES FREEWAY 83m SW from Int NEWLAND-PRINCES OUT RAMP ON,294562,N,N,Non Intersection,2500,PRINCES,FREEWAY,NEWLAND-PRINCES OUT ON,RAMP,Declared Road,HOBSONS BAY,METROPOLITAN NORTH WEST REGION,Melbourne - West,2479895.826,2403667.164
2307616.231,2594522.538,22,T20150016455,2015/08/07 00:00:00+00,02.:0.00,1,4,Collision with a fixed object,A,02,27,3,Passengers,M,On SUNRAYSIA HIGHWAY 730m N from Int FRASERS ROAD,292625,N,N,Non Intersection,2700,SUNRAYSIA,HIGHWAY,FRASERS,ROAD,Declared Road,BULOKE,NORTHERN REGION,Country,2307616.231,2594522.538
2491099.894,2414572.004,23,T20150016535,2015/08/08 00:00:00+00,20.:1.00,3,1,Collision with vehicle,A,A,55,2,Drivers,M,At Int of RALEIGH ROAD and CLYDE STREET,45255,I,I,Intersection,5864,RALEIGH,ROAD,CLYDE,STREET,Declared Road,MARIBYRNONG,METROPOLITAN NORTH WEST REGION,Melbourne - West,2491099.894,2414572.004
2470785.67,2461621.123,24,T20150016704,2015/08/11 00:00:00+00,09.:4.00,1,4,Collision with a fixed object,A,A,67,2,Drivers,M,On ROMSEY ROAD 299m W from Int VINNICOMBES ROAD,292672,N,N,Non Intersection,9999,ROMSEY,ROAD,VINNICOMBES,ROAD,Non Declared Road,MACEDON RANGES,NORTHERN REGION,Country,2470785.67,2461621.123
2491799.801,2348182.805,25,T20150016781,2015/08/12 00:00:00+00,09.:4.00,2,1,Collision with vehicle,A,03,88,3,Passengers,F,On EASTBOURNE ROAD 22m W from Int DEIGHTON DRIVE,292720,N,N,Non Intersection,9999,EASTBOURNE,ROAD,DEIGHTON,DRIVE,Non Declared Road,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,Metro,2491799.801,2348182.805
2491799.801,2348182.805,26,T20150016781,2015/08/12 00:00:00+00,09.:4.00,2,1,Collision with vehicle,A,04,91,3,Passengers,F,On EASTBOURNE ROAD 22m W from Int DEIGHTON DRIVE,292720,N,N,Non Intersection,9999,EASTBOURNE,ROAD,DEIGHTON,DRIVE,Non Declared Road,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,Metro,2491799.801,2348182.805
2512112.865,2386721.336,27,T20150016814,2015/08/12 00:00:00+00,22.:5.00,1,6,Vehicle overturned (no collision),A,A,57,2,Drivers,M,On SPRINGVALE ROAD 216m NE from Int PILLARS ROAD,292888,N,N,Non Intersection,2400,SPRINGVALE,ROAD,PILLARS,ROAD,Declared Road,KINGSTON,METROPOLITAN SOUTH EAST REGION,Melbourne - Inner South,2512112.865,2386721.336
2443560.229,2378840.231,28,T20150016862,2015/08/13 00:00:00+00,11.:0.00,1,2,Struck Pedestrian,A,03,68,1,Pedestrians,M,On PRINCES HIGHWAY(R) 132m N from Int PRINCES HIGHWAY SERVICE ROAD REV,294680,N,N,Non Intersection,2800,PRINCES,HIGHWAY,PRINCES REV,HIGHWAY SERVICE ROAD,Declared Road,GEELONG,SOUTH WESTERN REGION,Country,2443560.229,2378840.231
2493625.544,2433693.188,29,T20150016946,2015/08/14 00:00:00+00,16.:2.00,1,2,Struck Pedestrian,A,01,70,1,Pedestrians,M,On CRAIGIEBURN ROAD 128m E from Int CLOVELLY DRIVE,292805,N,N,Non Intersection,5106,CRAIGIEBURN,ROAD,CLOVELLY,DRIVE,Declared Road,HUME,METROPOLITAN NORTH WEST REGION,Melbourne - North West,2493625.544,2433693.188
2528443.811,2534179.806,30,T20150016997,2015/08/15 00:00:00+00,12.:1.00,1,4,Collision with a fixed object,A,01,27,3,Passengers,F,On LONGWOOD-SHEPPARTON ROAD 503m S from Int CULLENS ROAD,294158,N,N,Non Intersection,9999,LONGWOOD-SHEPPARTON,ROAD,CULLENS,ROAD,Non Declared Road,STRATHBOGIE,NORTH EASTERN REGION,Country,2528443.811,2534179.806
2752185.987,2405105.596,31,T20150017023,2015/08/15 00:00:00+00,18.:1.00,1,2,Struck Pedestrian,A,01,36,1,Pedestrians,M,On SCHOOL ROAD 127m E from Int OLD ORBOST ROAD,292846,N,N,Non Intersection,9999,SCHOOL,ROAD,OLD ORBOST,ROAD,Non Declared Road,EAST GIPPSLAND,EASTERN REGION,Country,2752185.987,2405105.596
2531135.609,2426189.754,32,T20150017071,2015/08/16 00:00:00+00,03.:0.00,1,6,Vehicle overturned (no collision),A,01,16,3,Passengers,M,On GLENVIEW ROAD 489m N from Int YARRAVIEW ROAD,292864,N,N,Non Intersection,9999,GLENVIEW,ROAD,YARRAVIEW,ROAD,Non Declared Road,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,Melbourne - Outer East,2531135.609,2426189.754
2648123.808,2357136.888,33,T20150017155,2015/08/17 00:00:00+00,15.:4.00,1,4,Collision with a fixed object,A,01,2,3,Passengers,M,On HYLAND HIGHWAY 172m NW from Int CASSINIA LANE,292937,N,N,Non Intersection,2170,HYLAND,HIGHWAY,CASSINIA,LANE,Declared Road,WELLINGTON,EASTERN REGION,Country,2648123.808,2357136.888
2590752.636,2550366.691,34,T20150017254,2015/08/18 00:00:00+00,20.:1.00,1,2,Struck Pedestrian,A,01,60,1,Pedestrians,M,On SYDNEY ROAD 109m NE from Int ENTERPRISE DRIVE,292936,N,N,Non Intersection,5047,SYDNEY,ROAD,ENTERPRISE,DRIVE,Declared Road,BENALLA,NORTH EASTERN REGION,Country,2590752.636,2550366.691
2766295.41,2400141.919,35,T20150017255,2015/08/18 00:00:00+00,19.:0.00,1,2,Struck Pedestrian,A,01,52,1,Pedestrians,M,On PRINCES HIGHWAY 43m NE from Int WEEKES ROAD,292976,N,N,Non Intersection,2510,PRINCES,HIGHWAY,WEEKES,ROAD,Declared Road,EAST GIPPSLAND,EASTERN REGION,Country,2766295.41,2400141.919
2527748.871,2379290.766,36,T20150017271,2015/08/18 00:00:00+00,17.:0.00,2,1,Collision with vehicle,A,B,97,2,Drivers,M,At Int of THOMPSONS ROAD and WILLIAM THWAITES BOULEVARD,291213,I,I,Intersection,5164,THOMPSONS,ROAD,WILLIAM THWAITES,BOULEVARD,Declared Road,CASEY,METROPOLITAN SOUTH EAST REGION,Melbourne - South East,2527748.871,2379290.766
2337647.297,2364044.09,37,T20150017362,2015/08/20 00:00:00+00,11.:4.00,2,1,Collision with vehicle,A,A,70,2,Drivers,F,At Int of OLD GEELONG ROAD and DEPOT ROAD,280051,I,I,Intersection,9999,OLD GEELONG,ROAD,DEPOT,ROAD,Non Declared Road,CORANGAMITE,SOUTH WESTERN REGION,Country,2337647.297,2364044.09
2277579.793,2345910.787,38,T20150017395,2015/08/20 00:00:00+00,20.:3.00,2,1,Collision with vehicle,A,A,58,2,Drivers,F,At Int of RAGLAN PARADE(R) and ROONEYS ROAD,50647,I,I,Intersection,2500,RAGLAN,PARADE,ROONEYS,ROAD,Declared Road,WARRNAMBOOL,SOUTH WESTERN REGION,Country,2277579.793,2345910.787
2204276.744,2359147.484,39,T20150017566,2015/08/23 00:00:00+00,20.:0.00,1,4,Collision with a fixed object,A,A,36,4,Motorcyclists,M,On PRINCES HIGHWAY 307m SE from Int HEATHMERE SIDING ROAD,293665,N,N,Non Intersection,2500,PRINCES,HIGHWAY,HEATHMERE SIDING,ROAD,Declared Road,GLENELG,SOUTH WESTERN REGION,Country,2204276.744,2359147.484
2547789.023,2378183.335,40,T20150017743,2015/08/26 00:00:00+00,13.:3.00,2,1,Collision with vehicle,A,B,88,2,Drivers,F,At Int of BALD HILL ROAD and FIVE MILE ROAD,49020,I,I,Intersection,9999,BALD HILL,ROAD,FIVE MILE,ROAD,Non Declared Road,CARDINIA,METROPOLITAN SOUTH EAST REGION,Melbourne - South East,2547789.023,2378183.335
2527204.454,2400802.049,41,T20150017854,2015/08/27 00:00:00+00,18.:4.00,1,2,Struck Pedestrian,A,01,75,1,Pedestrians,M,At Int of BURWOOD HIGHWAY(R) and DAWSON STREET,41977,I,I,Intersection,2750,BURWOOD,HIGHWAY,DAWSON,STREET,Declared Road,KNOX,METROPOLITAN SOUTH EAST REGION,Melbourne - Outer East,2527204.454,2400802.049
2501922.38,2410891.53,42,T20150017945,2015/08/28 00:00:00+00,23.:5.00,1,4,Collision with a fixed object,A,01,16,3,Passengers,F,On YARRA BOULEVARD 24m NE from Int YARRA STREET,294643,N,N,Non Intersection,4036,YARRA,BOULEVARD,YARRA,STREET,Declared Road,BOROONDARA,METROPOLITAN SOUTH EAST REGION,Melbourne - Inner East,2501922.38,2410891.53
2518898.426,2363063.547,43,T20150018130,2015/08/31 00:00:00+00,17.:3.00,2,1,Collision with vehicle,A,A,19,2,Drivers,F,On DANDENONG-HASTINGS ROAD 558m N from Int BUNGOWER ROAD,293589,N,N,Non Intersection,2230,DANDENONG-HASTINGS,ROAD,BUNGOWER,ROAD,Declared Road,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,Metro,2518898.426,2363063.547
2518710.642,2386133.981,44,T20150018132,2015/08/31 00:00:00+00,19.:5.00,1,2,Struck Pedestrian,A,01,42,1,Pedestrians,M,On FRANKSTON-DANDENONG ROAD 122m N from Int COJO PLACE,293588,N,N,Non Intersection,2090,FRANKSTON-DANDENONG,ROAD,COJO,PLACE,Declared Road,DANDENONG,METROPOLITAN SOUTH EAST REGION,Melbourne - South East,2518710.642,2386133.981
2483159.992,2597309.035,45,T20150018406,2015/09/04 00:00:00+00,12.:4.00,1,4,Collision with a fixed object,A,A,36,2,Drivers,M,On BANGERANG ROAD 68m W from Int SIMMIE ROAD,293776,N,N,Non Intersection,9999,BANGERANG,ROAD,SIMMIE,ROAD,Non Declared Road,CAMPASPE,NORTHERN REGION,Country,2483159.992,2597309.035
2416757.925,2356352.552,46,T20150018505,2015/09/05 00:00:00+00,13.:0.00,1,4,Collision with a fixed object,A,A,18,2,Drivers,M,On CAPE OTWAY ROAD 1366m W from Int DYSONS LANE,293632,N,N,Non Intersection,9999,CAPE OTWAY,ROAD,DYSONS,LANE,Non Declared Road,SURF COAST,SOUTH WESTERN REGION,Country,2416757.925,2356352.552
2522107.05,2388279.096,47,T20150018968,2015/09/12 00:00:00+00,07.:3.00,3,1,Collision with vehicle,A,B,39,2,Drivers,M,On PRINCES-SOUTH GIPPSLAND OUT RAMP ON 120m N from Int SOUTH GIPPSLAND FREEWAY,293872,N,N,Non Intersection,7017,PRINCES-SOUTH GIPPSLAND OUT,RAMP,SOUTH GIPPSLAND,FREEWAY,Declared Road,CASEY,METROPOLITAN SOUTH EAST REGION,Melbourne - South East,2522107.05,2388279.096
2512742.365,2405489.484,48,T20150019033,2015/09/13 00:00:00+00,08.:5.00,1,4,Collision with a fixed object,A,A,32,4,Motorcyclists,M,On BURWOOD HIGHWAY 13m W from Int CORNISH ROAD,293873,N,N,Non Intersection,2750,BURWOOD,HIGHWAY,CORNISH,ROAD,Declared Road,WHITEHORSE,METROPOLITAN SOUTH EAST REGION,Melbourne - Inner East,2512742.365,2405489.484
2440406.044,2353084.928,49,T20150019048,2015/09/13 00:00:00+00,15.:1.00,3,1,Collision with vehicle,A,C,87,2,Drivers,F,On SURF COAST HIGHWAY 50m N from Int DARIAN ROAD,293881,N,N,Non Intersection,2190,SURF COAST,HIGHWAY,DARIAN,ROAD,Declared Road,SURF COAST,SOUTH WESTERN REGION,Country,2440406.044,2353084.928
2535431.782,2543802.255,50,T20150019237,2015/09/16 00:00:00+00,05.:0.00,1,4,Collision with a fixed object,A,A,29,2,Drivers,M,On ARCADIA TWO CHAIN ROAD 776m SE from Int HANNEBERYS ROAD,293992,N,N,Non Intersection,9999,ARCADIA TWO CHAIN,ROAD,HANNEBERYS,ROAD,Non Declared Road,STRATHBOGIE,NORTH EASTERN REGION,Country,2535431.782,2543802.255
2537285.012,2423589.88,51,T20150019565,2015/09/20 00:00:00+00,13.:2.00,2,1,Collision with vehicle,A,A,40,4,Motorcyclists,F,On MAROONDAH HIGHWAY 287m SW from Int TARRAWARRA ROAD,294088,N,N,Non Intersection,2720,MAROONDAH,HIGHWAY,TARRAWARRA,ROAD,Declared Road,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,Melbourne - Outer East,2537285.012,2423589.88
2330292.913,2422481.245,52,T20150019699,2015/09/22 00:00:00+00,14.:3.00,2,1,Collision with vehicle,A,A,43,2,Drivers,M,At Int of GLENELG HIGHWAY and EURAMBEEN-STREATHAM ROAD,54423,I,I,Intersection,2670,GLENELG,HIGHWAY,EURAMBEEN-STREATHAM,ROAD,Declared Road,ARARAT,WESTERN REGION,Country,2330292.913,2422481.245
2508336.343,2421908.134,53,T20150019786,2015/09/23 00:00:00+00,18.:5.00,2,1,Collision with vehicle,A,A,31,4,Motorcyclists,M,At Int of GRIMSHAW STREET and WILLIAM STREET,44713,I,I,Intersection,5811,GRIMSHAW,STREET,WILLIAM,STREET,Declared Road,BANYULE,METROPOLITAN NORTH WEST REGION,Melbourne - North East,2508336.343,2421908.134
2535684.757,2441433.575,54,T20150019796,2015/09/23 00:00:00+00,18.:2.00,1,4,Collision with a fixed object,A,A,44,2,Drivers,M,On HEALESVILLE-KINGLAKE ROAD 1285m NW from Int MELBA HIGHWAY,294531,N,N,Non Intersection,5791,HEALESVILLE-KINGLAKE,ROAD,MELBA,HIGHWAY,Declared Road,MURRINDINDI,METROPOLITAN SOUTH EAST REGION,Melbourne - Outer East,2535684.757,2441433.575
2511975.791,2400068.152,55,T20150019859,2015/09/24 00:00:00+00,21.:1.00,1,4,Collision with a fixed object,A,A,48,2,Drivers,M,At Int of FERNTREE GULLY ROAD and GILBY ROAD,41734,I,I,Intersection,5799,FERNTREE GULLY,ROAD,GILBY,ROAD,Declared Road,MONASH,METROPOLITAN SOUTH EAST REGION,Melbourne - South East,2511975.791,2400068.152
2565788.3,2594742.123,56,T20150019860,2015/09/24 00:00:00+00,19.:0.00,1,4,Collision with a fixed object,A,A,43,2,Drivers,M,On BENALLA-TOCUMWAL ROAD 88m NW from Int YABBA ROAD,294280,N,N,Non Intersection,5397,BENALLA-TOCUMWAL,ROAD,YABBA,ROAD,Declared Road,MOIRA,NORTH EASTERN REGION,Country,2565788.3,2594742.123
2509301.199,2577804.18,57,T20150019871,2015/09/25 00:00:00+00,07.:0.00,2,1,Collision with vehicle,A,B,71,2,Drivers,M,At Int of DUNBAR ROAD and TREVASKIS ROAD,53152,I,I,Intersection,9999,DUNBAR,ROAD,TREVASKIS,ROAD,Non Declared Road,CAMPASPE,NORTHERN REGION,Country,2509301.199,2577804.18
2383716.1,2557106.167,58,T20150020087,2015/09/28 00:00:00+00,05.:2.00,1,4,Collision with a fixed object,A,01,45,3,Passengers,M,On CALDER HIGHWAY 754m SE from Int ROBERTS ROAD,294426,N,N,Non Intersection,2530,CALDER,HIGHWAY,ROBERTS,ROAD,Declared Road,LODDON,NORTHERN REGION,Bendigo,2383716.1,2557106.167
2541677.412,2380841.744,59,T20150020313,2015/10/01 00:00:00+00,15.:0.00,2,1,Collision with vehicle,A,A,35,2,Drivers,F,On MCGREGOR ROAD 41m S from Int CUNNINGHAM CRESCENT,294545,N,N,Non Intersection,9999,MCGREGOR,ROAD,CUNNINGHAM,CRESCENT,Non Declared Road,CARDINIA,METROPOLITAN SOUTH EAST REGION,Melbourne - South East,2541677.412,2380841.744
2504792.996,2408902.782,60,T20150020331,2015/10/01 00:00:00+00,15.:3.00,2,1,Collision with vehicle,A,A,52,2,Drivers,M,On RATHMINES ROAD 18m W from Int CAMBRIDGE STREET,294520,N,N,Non Intersection,5259,RATHMINES,ROAD,CAMBRIDGE,STREET,Declared Road,BOROONDARA,METROPOLITAN SOUTH EAST REGION,Melbourne - Inner East,2504792.996,2408902.782
2495844.64,2433377.471,61,T20150020455,2015/10/03 00:00:00+00,12.:4.00,1,4,Collision with a fixed object,A,A,39,2,Drivers,M,On CRAIGIEBURN ROAD 359m W from Int HUME OUT-CRAIGIEBURN RAMP OF,116945,N,N,Non Intersection,5106,CRAIGIEBURN,ROAD,HUME OUT-CRAIGIEBURN OF,RAMP,Declared Road,WHITTLESEA,METROPOLITAN NORTH WEST REGION,Melbourne - North East,2495844.64,2433377.471
2528428.345,2542965.043,62,T20150020578,2015/10/05 00:00:00+00,10.:5.00,2,1,Collision with vehicle,A,A,80,2,Drivers,M,At Int of MURCHISON-VIOLET TOWN ROAD and MURCHISON-VIOLET TOWN-GOULBURN VALLEY IN RAMP ON,294832,I,I,Intersection,5414,MURCHISON-VIOLET TOWN,ROAD,MURCHISON-VIOLET TOWN-GOULBURN VALLEY IN ON,RAMP,Declared Road,STRATHBOGIE,NORTH EASTERN REGION,Country,2528428.345,2542965.043
2533495.425,2413498.528,63,T20150020696,2015/10/06 00:00:00+00,18.:1.00,2,1,Collision with vehicle,A,08,16,3,Passengers,F,On HEREFORD ROAD 10m S from Int ADAMS LANE,294688,N,N,Non Intersection,5776,HEREFORD,ROAD,ADAMS,LANE,Declared Road,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,Melbourne - Outer East,2533495.425,2413498.528
2715530.047,2400131.218,64,T20150020725,2015/10/07 00:00:00+00,07.:0.00,2,1,Collision with vehicle,A,B,53,4,Motorcyclists,F,On PRINCES HIGHWAY 1134m W from Int MCARTHURS ROAD,197280,N,N,Non Intersection,2510,PRINCES,HIGHWAY,MCARTHURS,ROAD,Declared Road,EAST GIPPSLAND,EASTERN REGION,Country,2715530.047,2400131.218
2304566.052,2486213.714,65,T20150020738,2015/10/07 00:00:00+00,12.:4.00,2,1,Collision with vehicle,A,A,26,2,Drivers,F,On WESTERN HIGHWAY 387m NW from Int HARVEY LANE,294760,N,N,Non Intersection,2520,WESTERN,HIGHWAY,HARVEY,LANE,Declared Road,NORTHERN GRAMPIANS,WESTERN REGION,Country,2304566.052,2486213.714
2474515.208,2432261.591,66,T20150020796,2015/10/08 00:00:00+00,10.:3.00,2,1,Collision with vehicle,A,B,60,6,Bicyclists,M,On VINEYARD ROAD 120m S from Int OLD VINEYARD ROAD,295473,N,N,Non Intersection,5052,VINEYARD,ROAD,OLD VINEYARD,ROAD,Declared Road,HUME,METROPOLITAN NORTH WEST REGION,Melbourne - North West,2474515.208,2432261.591
2477775.83,2350116.612,67,T20150020805,2015/10/08 00:00:00+00,15.:3.00,2,1,Collision with vehicle,A,B,84,2,Drivers,M,On MELBOURNE ROAD 29m SE from Int WAVERLY STREET,295864,N,N,Non Intersection,9999,MELBOURNE,ROAD,WAVERLY,STREET,Non Declared Road,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,Metro,2477775.83,2350116.612
2239817.525,2536066.252,68,T20150021103,2015/10/12 00:00:00+00,14.:5.00,1,4,Collision with a fixed object,A,01,79,3,Passengers,M,On DAHLEN QUARRY ROAD 785m W from Int WALSHS ROAD,294918,N,N,Non Intersection,9999,DAHLEN QUARRY,ROAD,WALSHS,ROAD,Non Declared Road,HORSHAM,WESTERN REGION,Country,2239817.525,2536066.252
2473985.265,2431219.717,69,T20150021258,2015/10/14 00:00:00+00,16.:1.00,2,1,Collision with vehicle,A,A,72,2,Drivers,M,At Int of VINEYARD ROAD and BANKS DRIVE,61095,I,I,Intersection,5052,VINEYARD,ROAD,BANKS,DRIVE,Declared Road,MELTON,METROPOLITAN NORTH WEST REGION,Melbourne - North West,2473985.265,2431219.717
